행정동,예상매출(점포당),서울 평균 대비 매출지수,총_직장_인구_수,점포_수,총_유동인구_수,업종
삼성1동,172164310,2.25,189339,271,4991598,한식음식점
대치4동,165416385,2.162,43704,253,10740014,한식음식점
방이2동,149644662,1.956,40697,295,6231598,한식음식점
수서동,148319972,1.938,19403,67,2232614,한식음식점
노량진2동,146139441,1.910,4249,117,2807850,한식음식점
소공동,158549858,4.176,92258,124,2650504,커피-음료
자양3동,91010254,2.397,1753,40,6440637,커피-음료
회현동,89128873,2.348,69985,107,4307622,커피-음료
서원동,80061478,2.109,2303,31,5254418,커피-음료
가회동,75708854,1.994,12996,82,1175173,커피-음료
방배3동,150628607,3.315,13530,6,3438475,제과점
남현동,143879083,2.995,3701,4,4133633,제과점
대방동,141898452,2.953,7619,9,7363230,제과점
공릉2동,132584043,2.759,1031,11,8165486,제과점
화곡본동,123003113,2.56,2037,5,8214328,제과점
