행정동,예상매출(점포당),실제점포당매출,점포_수,서울시 평균매출,서울시 대비 매출,업종,순위
삼성1동,172580016,175671609,271,76513957,2.256,한식음식점,1
대치4동,165019088,161377887,253,76513957,2.157,한식음식점,2
수서동,149558240,155540706,67,76513957,1.955,한식음식점,3
방이2동,146939648,146157745,295,76513957,1.92,한식음식점,4
노량진2동,145509440,147788251,117,76513957,1.902,한식음식점,5
소공동,157162864,160561520,124,37967059,4.139,커피-음료,1
잠실2동,155485408,150951270,28,37967059,4.095,커피-음료,2
수서동,129283088,138237175,19,37967059,3.405,커피-음료,3
명동,110947176,99516849,223,37967059,2.922,커피-음료,4
위례동,110169480,99544491,27,37967059,2.902,커피-음료,5
구로5동,175189792,161969386,16,48047315,3.646,제과점,1
화양동,169251696,183263906,16,48047315,3.523,제과점,2
대치1동,167573648,183032101,9,48047315,3.488,제과점,3
창4동,166683328,172449026,7,48047315,3.469,제과점,4
사당2동,164990768,152578088,16,48047315,3.434,제과점,5
